product_name,brand,price
Ice Cream,Realbuzz,13.0
Cinnamon Spiced Almonds,Thoughtbeat,41.25
Pet Camera with Treat Dispenser,Quinu,7.03
Cocktail Shaker Set,Babbleset,11.81
Bamboo Cutting Board Set,Voomm,64.57
Buffalo Cauliflower Bites,Dynava,84.91
Frozen Salmon Filets,Aivee,59.63
Peach Salsa,Tekfly,59.65
Fishing Tackle Box,Topiczoom,89.53
Steak Seasoning Rub,Skaboo,25.48
Sweet Potatoes,Skibox,78.53
Pasta Primavera,Edgepulse,70.83
Portable Bluetooth Headphones,Zazio,54.03
Peanut Butter Chocolate Clusters,Quire,13.2
Weighted Jump Rope,Demimbu,35.61
Heavy Duty Gardening Tool Set,Pixoboo,59.17
High-Speed Hand Blender,Oyoloo,58.45
First Aid Kit,Shufflester,23.3
Spicy Garlic Edamame,Dynava,23.45
Wireless Gaming Headset,Meeveo,99.49
Noise-Canceling Headphones,Twitterwire,25.11
Golf Polo Shirt,Zoonder,64.37
Sooji (Semolina),Youtags,4.6
Magnetic Screen Door,Flipbug,35.74
Falafel Mix,Wikibox,60.35
Non-Toxic Concrete Sealer,Edgeclub,32.27
Travel Yoga Mat,Fliptune,65.37
Pasta Maker,Realmix,51.4
Smart Scale,Oodoo,32.94
Electric Griddle with Removable Plates,Blogspan,1.94
Pineapple Teriyaki Chicken Mix,Miboo,68.24
Pet Camera with Treat Dispenser,Yodoo,36.58
Sesame Garlic Noodles,Twinder,48.02
Classic Pumps,Dazzlesphere,78.9
Roasted Red Pepper Dip,Oloo,38.56
Gardening Tools Set,Edgepulse,86.71
Breathable Face Mask Set,Chatterbridge,50.72
Honey Mustard Pretzel Bites,Dabtype,10.67
Personalized Cutting Board,Shufflester,15.24
Travel Laundry Bag,Babbleset,68.62
Travel Beach Blanket,Twiyo,23.53
Maple Bacon Popcorn,Riffpedia,13.08
Bock Beer Mustard,Mudo,75.19
Spicy Thai Chili Sauce,Kazio,70.06
Orange Ginger Vinaigrette,Jamia,12.1
Gardening Tools Set,Innotype,82.26
Sliced Cheese,Ntag,17.12
Stuffed Peppers with Quinoa,Feedmix,55.81
Sesame Ginger Dressing,Trilia,6.1
Athletic Compression Tights,Yodel,52.09
Portable Hammock Swing,Meedoo,15.16
Classic Cheesecake Mix,Bubbletube,66.4
Cinnamon Raisin Bagels,Devpoint,92.12
Pumpkin Spice Granola,Edgeblab,56.96
Winter Insulated Jacket,Voomm,65.55
Classic Cheeseburger Mix,Skyvu,56.32
Almond Crunch Granola Bars,Realmix,65.9
Sweet Potato Noodles,Trudeo,23.59
Wireless Game Controller,Mudo,11.1
Pretzel Bites,Bubbletube,47.71
Maple Almond Butter,Thoughtblab,10.14
Fleece Hoodie,Katz,63.05
Essential Oil Roller Bottles,Ntag,66.84
Over-the-Door Hooks,Devpulse,78.66
Italian Meatballs,Yakijo,82.01
Cherry Almond Protein Bar,Tekfly,79.68
Outdoor Camping Lantern,Quinu,36.45
Compact Pop-Up Tent,Edgewire,22.76
Customizable Name Plate,Fanoodle,65.75
Reusable Snack Bags,Fivechat,92.04
Wooden Children's Play Kitchen,Oyondu,85.07
Sooji (Semolina),Yakidoo,17.69
Sourdough Bread,Yambee,48.08
Portable Massage Table,Muxo,92.25
Camping Tarp,Skyba,53.78
Garlic Parmesan Wings,Yoveo,4.34
Reusable Silicone Food Storage Bags,Tanoodle,96.25
Mechanical Pencil Set,Yodo,38.14
Coconut Curry Sauce,Cogidoo,64.52
Nail Polish Set,Brainsphere,74.58
Garden Kneeler and Seat,Feedspan,67.77
Bicycle Repair Kit,Topicstorm,42.68
Asian Salad Mix,Livetube,31.67
Heart-Shaped Baking Molds,Oozz,93.52
Pet Tracking Collar,LiveZ,32.34
Watercolor Paint Set,InnoZ,97.75
Folding Backpack Chair,Trudoo,39.22
Sliced Ham,Geba,54.11
Vegetable Fried Rice,Vimbo,34.66
Electric Meat Grinder,Twitterlist,67.99
Smartphone Tripod with Remote,Camido,66.49
Car Trash Can,Katz,29.04
Utility Cargo Pants,Leenti,32.02
Kale Salad Kit,Katz,71.43
Apricot Jam,Meeveo,32.1
Chocolate Mint Cookies,Buzzshare,31.12
Interactive Plush Toy,Browsecat,60.69
Thermostatic Shower Valve Kit,Oozz,41.0
Homemade Salsa,Cogidoo,89.17
Snack Container Set,Kwilith,2.74
Stainless Steel Cutlery Set,DabZ,5.15
Garam Masala Spice Blend,Leenti,99.27
Spicy Thai Coconut Soup,Vinder,32.14
Gardening Kneeler and Seat,Jabbersphere,60.25
A-Line Skirt,Agivu,3.23
Smartwatch,Skinte,67.18
Sea Salt Caramel Popcorn,Twitterworks,10.8
Car Escape Tool,Aivee,15.88
Dried Fruit Medley,Oyope,12.07
Acoustic Guitar,Oyoyo,14.31
Over-the-Door Hooks,Jaxbean,27.55
Sweet Potato and Chickpea Bowl,Gevee,25.71
Electric Food Steamer,Zoombox,29.65
Kids Tablet,Pixonyx,71.78
Vegetable Medley,Fivechat,28.14
Vegan Alfredo Sauce,Vidoo,35.9
Kid's Fruit Snacks,Talane,34.26
Smart Doorbell,Innotype,51.74
Wall-Mounted Bookshelf,Yacero,26.42
Chocolate Avocado Pudding,Meembee,74.06
Cabbage,Feednation,1.68
Coconut Milk Ice Cream,Kanoodle,56.24
Electric Griddle with Removable Plates,BlogXS,51.67
Sweet Potato Noodles,Quamba,57.03
Workstation Laptop Stand,Buzzster,90.8
High-Speed HDMI Cable,Meevee,13.76
Beef Taco Skillet,Edgeclub,76.85
Hand Crank Blender,Wordify,77.7
Yoga Strap,Twitterwire,90.74
Portable Pet Stroller,Aimbu,51.14
Fleece Throw Blanket,Innojam,68.32
Faux Leather Leggings,Wordify,96.45
Maple Bacon Jerky,Quaxo,26.29
Caramel Apple Chips,Digitube,36.67
Portable Pet Pooper Scooper,Myworks,34.82
Mini Pretzels,Minyx,17.06
Chocolate Raspberry Tart,Eimbee,53.43
Tailgating Set,Brightdog,63.01
Pesto Genovese,Aimbo,60.06
Laptop Sleeve,Fivebridge,1.28
Maple Pecan Oatmeal Cookies,Fanoodle,46.81
Frozen Hash Browns,Eayo,11.47
Frozen Spinach,Tagtune,61.51
Portable USB-C Monitor,Eadel,12.75
Savory Quinoa Pudding,Skinte,65.45
Hummus,Meemm,38.65
Ice Cube Tray with Lid,Geba,53.58
Diced Tomatoes (canned),Brainbox,64.9
Chili Beans in Sauce,Mydo,99.08
French Bread,Livetube,36.41
Roasted Red Pepper Sauce,Voonyx,61.42
Inflatable Party Cooler,Voonder,72.12
Biodegradable Phone Case,Avavee,64.69
Diced Tomatoes (canned),Edgepulse,92.65
Asian Stir-Fry Vegetables,Wikizz,91.96
Honey,Browsetype,93.27
High-Quality Yoga Mat,Gigabox,74.34
Sliced Bell Peppers,Livefish,39.89
Smartphone Gimbal,Blogtag,90.79
Free-Range Eggs,Jetwire,14.71
Stylish Wireless Earbuds,Fivebridge,68.93
Organic Brown Sugar,Ainyx,55.73
Mediterranean Chickpea Bowl,Jetwire,22.63
Wireless Printer,Gevee,98.01
Sweet Chili Thai Sauce,Browsebug,50.66
Caramelized Onion Dip Mix,Skajo,88.26
Electric Kettle with Temperature Control,Npath,65.45
Baby Monitor,Muxo,12.82
Honeycrisp Apples,Eidel,58.87
Organic Chia Seeds,Blogtag,67.29
Reflective Safety Vest,Bluejam,29.01
Safety Goggles,Shufflebeat,69.24
Electric Blanket,Photospace,27.3
Sketchbook,Realblab,99.29
Belted Trench Coat,Jetwire,65.63
Brownie Bites,Lazz,22.97
Cabbage Slaw Mix,Meetz,70.82
Wireless Gaming Headset,Feedbug,45.87
Kitchen Knife Sharpening System,Teklist,81.43
Compact Shoe Rack,Yakidoo,6.8
Trainers with Mesh Inserts,Fivebridge,48.79
Over-the-Door Hooks,Mybuzz,70.71
Electric Toothbrush,Vinder,20.93
Ginger Snaps,Kwilith,83.99
Pesto Genovese,Zoombox,4.11
Lemon Garlic Marinade,Aimbu,21.43
Electric Wine Opener,Snaptags,44.93
Wall-Mounted Bookshelf,Chatterbridge,22.02
Electric Heat Pad,Mydeo,99.17
Apple Cinnamon Oatmeal,Demizz,84.08
Pet Water Fountain,Skidoo,1.21
Dark Chocolate Raisins,Abatz,48.53
Tandoori Chicken Marinade,Zooxo,31.39
BBQ Lentil Chips,Edgewire,30.53
Sporty Leggings,Yoveo,97.14
Hummus Variety Pack,Zoombeat,75.14
Creative Puzzle Game,Kwilith,19.94
Garlic Butter Sauce,Topicware,33.51
Organic Cereal Bars,Skinte,96.83
Outdoor Adventure Kit,Oyonder,85.88
Adjustable Standing Desk,Twimbo,84.62
Lasagna Noodles,Topicblab,41.56
Collapsible Water Bottle,Skibox,59.46
Fruit and Nut Medley,Yacero,43.76
Coconut Oil,Mycat,67.71
Coconut Water,Tagcat,84.69
Avocados,Einti,14.78
Portable Solar Path Lights,Fivechat,31.29
Maple Almond Butter,Babbleopia,88.44
Garlic Naan Bread,Wikizz,73.13
Pumpkin Spice Latte Mix,Kwimbee,53.65
Pistachio Ice Cream,DabZ,91.63
Fruit and Nut Energy Bites,Aimbu,12.38
Travel Organizer,Wikivu,46.94
Mayonnaise,Katz,21.64
Butternut Squash Soup,Chatterbridge,84.49
Rolling Cooler,Chatterbridge,65.68
Water-Resistant Bluetooth Speaker,Trudeo,53.89
Cinnamon Spiced Almonds,Youspan,66.37
Scent Diffuser Oil,Jabbersphere,85.42
Cinnamon Roll Dough,Vimbo,48.49
Portable Blender,Podcat,25.41
Sketchbook,Snaptags,16.08
Memory Card,BlogXS,65.02
Tactical Backpack,Twimm,19.92
Sweet Potato and Chickpea Bowl,Quamba,85.62
Men's Waterproof Hiking Boots,Thoughtmix,59.2
Teriyaki Chicken Skewers,Roodel,76.34
Silicone Baking Cups,Rhyloo,52.4
Organic Cucumber,Skyba,84.7
Pet Carrier,Fivespan,45.39
Coconut Almond Granola,Latz,80.03
Coffee Capsule Dispenser,Voolia,6.05
Travel Size Toiletry Bottles,Cogidoo,91.49
Pet Grooming Glove,Browsedrive,45.57
Roasted Garlic Mashed Potatoes,Kaymbo,28.59
Car Sunshade,Chatterbridge,69.93
Strawberry Banana Smoothie Pack,Trilith,69.16
Memory Foam Mattress Topper,Gabspot,38.78
Sketchbook,Lazzy,45.72
Pasta Primavera Kit,Omba,28.73
Multi-Layer Food Steamer,InnoZ,97.82
Classic Caesar Dressing,Muxo,74.47
Homestyle Chicken Noodle Soup,Skinder,43.16
Cranberry Juice,Camido,32.19
Travel Makeup Organizer,Wikibox,4.89
Buttermilk Pancakes,Plambee,91.4
Pizza Stone,Dabfeed,80.4
Portable Massage Table,Skilith,31.54
Compost Bin,Avamba,96.29
Bamboo Charcoal Air Purifier Bags,Eazzy,2.19
Car Diagnostic Scanner,Brightdog,58.46
Sriracha Chili Sauce,Latz,55.91
Electric Air Pump,Oyope,59.62
Aeropress Coffee Maker,Mycat,59.88
Adjustable Height Standing Desk Converter,Flashset,19.94
Gluten-Free Pancake Mix,Devshare,95.15
Magic Color-Changing Mug,Youspan,1.26
Compact Shoe Rack,Jabbertype,97.17
Classic White T-Shirt,Photobug,32.89
Almond Butter,Quinu,30.33
Mini Electric Kettle,Twitterbeat,27.18
Pet Hair Vacuum Attachment,Devcast,35.82
Peanut Butter Pretzel Bites,Oozz,4.25
Wireless Charger,Browsezoom,11.89
Miso Soup Starter,Zazio,37.07
Mini Waffle Maker,Babbleset,74.11
Ricotta Cheese,Skivee,69.94
Chocolate Hazelnut Spread,Topicstorm,10.08
Nail Polish Set,Wikido,75.75
Multi-Purpose Plant Care Tool,Izio,23.02
Fitness Balance Ball,DabZ,55.04
Zucchini Noodles,Jaxnation,42.11
Cherry Almond Protein Bar,Rhyloo,80.53
Honey Mustard Sauce,Thoughtworks,91.23
Chocolate Chip Energy Balls,Ainyx,69.5
Kettle Chip Variety Pack,Trudoo,10.92
Ice Cube Tray with Lid,Npath,89.08
Whole Roasted Chicken,Realcube,30.44
Wireless Keyboard and Mouse Combo,Quimba,79.03
Classic Vanilla Fudge,Kazu,73.88
Camera Tripod,Photobug,8.61
Oven-Baked Chicken Tenders,Livetube,1.35
Baby Safety Corner Guards,Trudoo,50.11
Infrared Thermometer,Mybuzz,10.4
Granola Bars,Trilia,67.7
Energy Bites,Photofeed,66.77
Surimi Crab Sticks,Realblab,55.95
Travel Eye Mask with Ear Plugs,Jabbertype,21.96
DIY Organic Gardening Kit,Agivu,95.76
Graphic Print Leggings,Photospace,48.39
Compact Electric Kettle,Meevee,48.82
Coconut Chia Seed Pudding,Teklist,73.57
Almond Butter,Browseblab,47.95
Caribbean Jerk Marinade,Flashspan,76.85
Pet Hair Remover,Zoomlounge,37.52
Italian Sausage and Peppers,Skajo,83.7
Oven Thermometer,Skiba,5.15
Oven-Baked Potato Chips,Mydeo,36.39
Maple Syrup,Fatz,52.97
Non-Slip Yoga Socks,Yodel,3.16
Mini Meatballs,Zoomcast,48.5
Travel Beach Blanket,Yambee,65.17
Coconut Flakes,Oba,58.33
Cinnamon Apple Sauce,Quamba,80.49
Memory Card,Yakijo,82.19
Electric Toothbrush Holder,Twimm,49.91
Basil Lemonade,Skipstorm,91.19
Cinnamon Roll Kit,Leenti,73.4
Chino Shorts,Katz,32.59
First Aid Kit,Tagchat,97.83
Smartphone Tripod with Remote,Miboo,55.1
Organic Coconut Oil,Skaboo,85.93
High-Speed Hand Blender,Skidoo,53.86
Apple Pie Filling,Shuffledrive,73.16
Organic Quinoa Chips,Fivechat,4.4
Puff Pastry,Podcat,44.87
Fitness Tracker Band,Quinu,97.82
Travel Hair Straightener,Devbug,94.43
Sweet Potatoes,Leenti,34.87
Teriyaki Tofu Stir-Fry,Mynte,52.98
Whole Roasted Chicken,Tazz,66.25
Leather Wallet,Skalith,75.94
Tomatillo Salsa,Gabcube,89.52
Sriracha Sauce,Fivespan,72.39
Adjustable Dumbbells,Kwideo,84.46
Premium Flashlight,Meemm,47.3
Smartphone Photography Tripod,Quinu,75.34
Manual Coffee Grinder,Babbleblab,44.65
Tailgating Set,Kamba,49.67
Veggie Lovers Pizza,Photofeed,88.54
Pumpkin Seeds,Realmix,98.82
Spicy Garlic Edamame,Abatz,78.35
Comfort Flats,Tagfeed,74.01
Garam Masala Spice Blend,Thoughtblab,26.97
Frozen Spinach,Topicblab,50.67
Organic Quinoa,Fanoodle,55.43
Nutritional Yeast,Zoomdog,78.73
Crew Neck Sweater,Buzzster,71.19
Sporty Leggings,Brightbean,71.91
Samoas Cookie Mix,DabZ,74.65
Glass Food Containers,Feedbug,83.74
Adjustable Pedicure Footrest,Dynabox,39.83
Hot Salsa,Jaloo,49.68
Essential Oil Roller Bottles,Feednation,35.54
Personal Blender with Cups,Meetz,86.34
Cinnamon Spiced Almonds,Fiveclub,16.74
Garden Tool Set,Trupe,88.63
Pressure Cooker,Mydeo,19.24
Spicy Salsa Verde,DabZ,80.67
Mixed Berry Smoothie Pack,Rhynoodle,84.27
Outdoor Mosquito Repellent Lantern,Avamm,66.74
Sweet Potato Tots,Shuffledrive,54.89
Portable Hammock,Topiczoom,34.79
Artisan Bread Loaf,Tagcat,55.11
Maple Bacon Jerky,Flashpoint,16.52
Cauliflower Pizza Crust,Tagtune,3.62
Phone Screen Protector,Devcast,5.45
Portable Refrigerator Freezer,Quimba,54.25
Electric Stir Fry Pan,Realcube,57.59
Basic V-Neck T-Shirt,Yambee,7.59
Pumpkin Waffles,Twinder,86.91
Ergonomic Gaming Chair,Wordware,70.06
Electric Kettle with Temperature Control,Realbridge,29.59
Desk Organizer Set,Wordpedia,51.37
Blue Corn Tortilla Chips,Topicblab,46.26
Ready-to-Eat Chili,Skippad,98.85
Chipotle Black Bean Burger,Brainbox,24.65
USB Desk Fan,Omba,34.83
Decorative Throw Pillows,Youtags,78.99
Dried Mango Slices,Innojam,12.77
Adjustable Height Standing Desk Converter,Bubblebox,42.09
Apple Cinnamon Granola,Fliptune,95.28
Garden Tool Set with Carrying Bag,Tavu,32.4
Travel Orthopedic Pillow,Kwinu,72.2
Hair Dryer,Oodoo,43.43
Maple Bacon Popcorn,Realbuzz,62.24
Non-Stick Grill Mat,Yoveo,45.38
Sweet Pea Hummus,Livepath,15.74
Cilantro Lime Rice,Wordware,16.32
Vegetable Curry,Wordpedia,17.01
Pressure Washer Accessories Kit,Feednation,84.61
Chipotle Black Bean Burger,Thoughtstorm,44.71
Spiced Pumpkin Soup,Reallinks,84.52
Smartphone Photography Ring Light,Tazzy,94.55
Almond Milk Yogurt,Topicware,91.06
Electric Kettle with Temperature Control,Zoomlounge,77.33
Coconut Milk Yogurt,Aivee,65.0
Sliced Bread,Thoughtblab,44.56
Inspirational Wall Art,Viva,13.53
Chickpea Pasta,Skyvu,47.97
Smartphone Tripod with Bluetooth Remote,Brainlounge,61.73
Chili Beans (canned),Realbridge,66.81
Sesame Garlic Stir-Fry Sauce,Youfeed,35.52
Organic Whole Wheat Flour,Topicblab,47.03
Hummus Variety Pack,Voomm,21.99
Foot Spa Bath Massager,Kwinu,71.89
Vegan Chickpea Salad,Gigashots,42.68
Deluxe First Aid Kit,Photojam,60.14
Wireless Music Receiver,Wordware,80.63
Non-Stick Grill Mat,Twiyo,8.79
Italian Sausage Links,Fadeo,64.93
Colorful Post-It Notes Set,Voolia,82.84
Fruit and Nut Bars,Plajo,64.45
Essential Oils Diffuser Necklace,Meevee,14.12
Electric Nail File Kit,Babbleopia,27.6
Hummus Variety Pack,Dynazzy,20.88
Herb Garlic Butter,Edgeclub,86.68
Pet Camera with Treat Dispenser,Brainverse,53.47
Almond Flour,Abatz,38.68
Compact Hair Dryer,Pixope,89.66
Veggie Chips Variety Pack,Wikizz,15.45
Camping Chair with Cooler,Zoomcast,63.02
Dill Pickle Chips,Tazzy,15.33
